block_id_v1,er_web,er_web_rescaled,sa_web,sa_web_rescaled,score_v1_web,sm_web,sm_web_rescaled,sp_web,sp_web_rescaled,ve_web,ve_web_rescaled,vg_web,vg_web_rescaled
8757,6573.5,28,90139,16,28,NA,NA,1767,28,NA,NA,1160.3538818359375,15
8758,6570.142857142857,28,90138.57142857143,16,28,NA,NA,1767,28,NA,NA,1163.4251360212054,15
8759,6569.428571428572,28,90138.71428571429,16,28,NA,NA,1767,28,NA,NA,1166.746372767857,15.142857142857142
8760,6568,28,90139.33333333333,16,28,NA,NA,1766,28,NA,NA,1186.8673366970486,16
8761,6568,28,90138.83333333333,16,28,NA,NA,1766,28,NA,NA,1189.8218180338542,16
8762,6573.666666666667,28,90143,16,28,NA,NA,1766,28,NA,NA,1192.7847900390625,16
8763,6574,28,90142.5,16,28,NA,NA,1766,28,NA,NA,1195.7046508789062,16
8764,6568,28,90139,16,28,NA,NA,1767,28,NA,NA,1177.5739135742188,16
8765,6568.25,28,90138.75,16,28,NA,NA,1767,28,NA,NA,1180.0702514648438,16
8766,6573.666666666667,28,90143.83333333333,16,28,NA,NA,1767,28,NA,NA,1182.5737711588542,16
8767,6574,28,90144,16,28,NA,NA,1767,28,NA,NA,1185.0408935546875,16
8768,6569.555555555556,28,90138.55555555556,16,28,NA,NA,1767,28,NA,NA,1168.4622667100693,15.333333333333334
8769,6570.166666666667,28,90140.83333333333,16,28,NA,NA,1767,28,NA,NA,1170.5094401041667,15.666666666666666
8770,6574.333333333333,28,90143.88888888889,16,28,NA,NA,1767,28,NA,NA,1172.5624864366318,15.666666666666666
8771,6655.87962962963,28.10185185185185,90236.45370370371,16,30,NA,NA,1767.851851851852,28,NA,NA,1503.4944446705006,21.12962962962963
8772,6717.570247933884,29,90282.06611570247,16,30.107438016528924,NA,NA,1768.404958677686,28,NA,NA,1532.4038479387268,21.545454545454547
8773,6629.069306930693,28.10891089108911,90211.71287128713,16,29.623762376237625,NA,NA,1765.950495049505,28,NA,NA,1418.850038434019,19.673267326732674
8774,6670.440366972477,29,90233.19266055046,16,30,NA,NA,1766.5963302752293,28,NA,NA,1441.2250024638045,20.110091743119266
8775,6615.842975206611,28,90209.8347107438,16,29,NA,NA,1766.0495867768595,28,NA,NA,1335.813382739863,18.330578512396695
8776,6640.601941747573,28.194174757281555,90221.26213592233,16,29.019417475728154,NA,NA,1766.7766990291261,28,NA,NA,1352.3507968939623,18.58252427184466
8777,6338.333333333333,27,97905.16666666667,18,29.333333333333332,NA,NA,1718,27.333333333333332,NA,NA,1396.547627766927,19
8778,6333,27,97909.11111111111,18,29,NA,NA,1718.2222222222222,27.333333333333332,NA,NA,1385.0654839409722,19
8779,6937,30,113942.33333333333,21,32,NA,NA,1996,32,NA,NA,1362.3317464192708,19
8780,6943,30,113938.55555555556,21,32,NA,NA,1996.888888888889,32,NA,NA,1352.9762641059028,18.77777777777778
8781,6333,27,97909.11111111111,18,29,NA,NA,1717.4444444444443,27.333333333333332,NA,NA,1371.8272162543403,19
8782,6161,26.142857142857142,93326.71428571429,17.142857142857142,27.857142857142858,NA,NA,1637.7142857142858,26,NA,NA,1359.3993443080358,19
8783,6034,25.5,89890.25,16.5,27,NA,NA,1578.25,25,NA,NA,1348.3304748535156,18.5
8784,6040,25.5,89887.66666666667,16.5,27,NA,NA,1579,25,NA,NA,1339.1627807617188,18
8785,6935,30,113952.5,21,32,NA,NA,1996.5,32,NA,NA,1352.7921549479167,18.833333333333332
8786,6935,30,113938.5,21,32,NA,NA,1998,32,NA,NA,1340.4319661458333,18
8787,6935,30,113950.77777777778,21,32,NA,NA,1996.6666666666667,32,NA,NA,1358.2179497612847,19
8788,6935,30,113958.77777777778,21,32,NA,NA,1997,32,NA,NA,1346.6962754991318,18.333333333333332
8789,6935,30,113960.66666666667,21,32,NA,NA,1997,32,NA,NA,1336.957010904948,18
8790,6935,30,113940.11111111111,21,32,NA,NA,1998,32,NA,NA,1327.3934597439236,18
8791,6942.333333333333,30,113942.55555555556,21,32,NA,NA,1997,32,NA,NA,1341.7284749348958,18.11111111111111
8792,6940.75,30,113947.75,21,32,NA,NA,1997,32,NA,NA,1331.5920715332031,18
8793,6942.428571428572,30,113947.42857142857,21,32,NA,NA,1997.4285714285713,32,NA,NA,1321.0611223493304,18
8794,6945,30,113935.88888888889,21,32,NA,NA,1998,32,NA,NA,1311.6368136935764,18
8795,6040,25.5,89891.83333333333,16.5,27,NA,NA,1579,25,NA,NA,1328.1406860351562,18
8796,6040,25.5,89893.25,16.5,27,NA,NA,1579,25,NA,NA,1318.9672241210938,18
8797,6041.333333333333,25.5,89893,16.5,27,NA,NA,1579.3333333333333,25,NA,NA,1309.6749877929688,18
8798,6048,25.5,89882.5,16.5,27,NA,NA,1580,25,NA,NA,1298.6529134114583,18
8799,5657,24,79807.66666666667,14,27,NA,NA,1506,24,NA,NA,1554.6318969726562,22
8800,5657,24,79812.5,14,27,NA,NA,1506.8333333333333,24,NA,NA,1554.726806640625,22
8801,5657,24,79810.16666666667,14,27,NA,NA,1506.1666666666667,24,NA,NA,1539.1267700195312,22
8802,5657,24,79812.5,14,27,NA,NA,1507.5,24,NA,NA,1531.1241861979167,21.666666666666668
8803,5655.172413793103,23.82758620689655,79822,14,26.24137931034483,NA,NA,1511.448275862069,24,NA,NA,1437.8919340988684,20
8804,5575.925619834711,23.545454545454547,77275.69421487603,13.636363636363637,25.454545454545453,NA,NA,1450.099173553719,22.90909090909091,NA,NA,1406.521625613378,19.479338842975206
8805,5211.99173553719,22,65801.14049586777,12,22.58677685950413,NA,NA,1148.9173553719008,18,NA,NA,1360.2656128938534,18.694214876033058
8806,5210.2231404958675,22,65798.38016528926,12,22.03305785123967,NA,NA,1149.0247933884298,18,NA,NA,1317.1847448427816,17.975206611570247
